0011010100100100 0101111010000001 | 0 1001001110100101
0011010100100100 0101111010000001 | 0 1001001110100101
0011010100100100 0101111010000001 | 0 1001001110100101
0011010100100100 0101111010000001 | 0 1001001110100101
0011010100100100 0101111010000001 | 0 1001001110100101
0011010100100100 0101111010000001 | 0 1001001110100101
0011010100100100 0101111010000001 | 0 1001001110100101
0011010100100100 0101111010000001 | 0 1001001110100101
0011010100100100 0101111010000001 | 0 1001001110100101
0011010100100100 0101111010000001 | 0 1001001110100101
0011010100100100 0101111010000001 | 0 1001001110100101
0011010100100100 0101111010000001 | 0 1001001110100101
0011010100100100 0101111010000001 | 0 1001001110100101
0011010100100100 0101111010000001 | 0 1001001110100101
0011010100100100 0101111010000001 | 0 1001001110100101
0011010100100100 0101111010000001 | 0 1001001110100101
0011010100100100 0101111010000001 | 0 1001001110100101
0011010100100100 0101111010000001 | 0 1001001110100101
0011010100100100 0101111010000001 | 0 1001001110100101
