0011010100100100 0101111010000001 1 | 0 1001001110100110
0011010100100100 0101111010000001 1 | 0 1001001110100110
0011010100100100 0101111010000001 1 | 0 1001001110100110
0011010100100100 0101111010000001 1 | 0 1001001110100110
0011010100100100 0101111010000001 1 | 0 1001001110100110
0011010100100100 0101111010000001 1 | 0 1001001110100110
0011010100100100 0101111010000001 1 | 0 1001001110100110
0011010100100100 0101111010000001 1 | 0 1001001110100110
0011010100100100 0101111010000001 1 | 0 1001001110100110
0011010100100100 0101111010000001 1 | 0 1001001110100110
0011010100100100 0101111010000001 1 | 0 1001001110100110
0011010100100100 0101111010000001 1 | 0 1001001110100110
0011010100100100 0101111010000001 1 | 0 1001001110100110
0011010100100100 0101111010000001 1 | 0 1001001110100110
0011010100100100 0101111010000001 1 | 0 1001001110100110
0011010100100100 0101111010000001 1 | 0 1001001110100110
0011010100100100 0101111010000001 1 | 0 1001001110100110
0011010100100100 0101111010000001 1 | 0 1001001110100110
0011010100100100 0101111010000001 1 | 0 1001001110100110
