0 | 10101111 11000101 1 || xxx xxX xxxx
0 | 10101111 11000101 1 || xxx xxX xxxx
0 | 10101111 11000101 1 || xxx xxX xxxx
1 | 10101111 11000101 1 || xxx xxX xxxx
1 | 10101111 11000101 1 || 794 056 0100
1 | 10101111 11000101 1 || 794 056 0100
1 | 10101111 11000101 1 || 794 056 0100
0 | 10101111 11000101 1 || 794 056 0100
0 | 10101111 11000101 1 || 794 056 0100
0 | 10101111 11000101 1 || 794 056 0100
0 | 10101111 11000101 1 || 794 056 0100
0 | 10101111 11000101 0 || 794 056 0100
0 | 10101111 11000101 0 || 794 056 0100
0 | 10101111 11000101 0 || 794 056 0100
0 | 10101111 11000101 0 || 794 056 0100
1 | 10101111 11000101 0 || 794 056 0100
1 | 10101111 11000101 0 || 708 0a0 0000
1 | 10101111 11000101 0 || 708 0a0 0000
1 | 10101111 11000101 0 || 708 0a0 0000
0 | 10101111 11000101 0 || 708 0a0 0000
0 | 10101111 11000101 0 || 708 0a0 0000
0 | 10101111 11000101 0 || 708 0a0 0000
0 | 10101111 11000101 0 || 708 0a0 0000
1 | 10101111 11000101 0 || 708 0a0 0000
1 | 10101111 11000101 0 || 72a 100 0001
1 | 10101111 11000101 0 || 72a 100 0001
1 | 10101111 11000101 0 || 72a 100 0001
0 | 10101111 11000101 0 || 72a 100 0001
0 | 10101111 11000101 0 || 72a 100 0001
0 | 10101111 11000101 0 || 72a 100 0001
0 | 10101111 11000101 0 || 72a 100 0001
1 | 10101111 11000101 0 || 72a 100 0001
1 | 10101111 11000101 0 || 793 050 0100
1 | 10101111 11000101 0 || 793 050 0100
1 | 10101111 11000101 0 || 793 050 0100
0 | 10101111 11000101 0 || 793 050 0100
0 | 10101111 11000101 0 || 793 050 0100
0 | 10101111 11000101 0 || 793 050 0100
0 | 10101111 11000101 0 || 793 050 0100
