y_approx = 0.1111111  y_true = 1.0000000
y_approx = 0.1111110  y_true = 0.1111111
y_approx = 0.1111110  y_true = 0.1111110
y_approx = 0.1111101  y_true = 0.1111101
y_approx = 0.1111100  y_true = 0.1111100
y_approx = 0.1111011  y_true = 0.1111011
y_approx = 0.1111010  y_true = 0.1111010
y_approx = 0.1111001  y_true = 0.1111001
y_approx = 0.1111000  y_true = 0.1111000
y_approx = 0.1110111  y_true = 0.1110111
y_approx = 0.1110110  y_true = 0.1110110
y_approx = 0.1110101  y_true = 0.1110101
y_approx = 0.1110101  y_true = 0.1110101
y_approx = 0.1110100  y_true = 0.1110100
y_approx = 0.1110011  y_true = 0.1110011
y_approx = 0.1110010  y_true = 0.1110010
y_approx = 0.1110001  y_true = 0.1110001
y_approx = 0.1110000  y_true = 0.1110000
y_approx = 0.1110000  y_true = 0.1110000
y_approx = 0.1101111  y_true = 0.1101111
y_approx = 0.1101110  y_true = 0.1101110
y_approx = 0.1101101  y_true = 0.1101101
y_approx = 0.1101101  y_true = 0.1101101
y_approx = 0.1101100  y_true = 0.1101100
y_approx = 0.1101011  y_true = 0.1101011
y_approx = 0.1101011  y_true = 0.1101011
y_approx = 0.1101010  y_true = 0.1101010
y_approx = 0.1101001  y_true = 0.1101001
y_approx = 0.1101001  y_true = 0.1101001
y_approx = 0.1101000  y_true = 0.1101000
y_approx = 0.1100111  y_true = 0.1100111
y_approx = 0.1100110  y_true = 0.1100111
y_approx = 0.1100110  y_true = 0.1100110
y_approx = 0.1100101  y_true = 0.1100101
y_approx = 0.1100101  y_true = 0.1100101
y_approx = 0.1100100  y_true = 0.1100100
y_approx = 0.1100011  y_true = 0.1100011
y_approx = 0.1100011  y_true = 0.1100011
y_approx = 0.1100010  y_true = 0.1100010
y_approx = 0.1100010  y_true = 0.1100010
y_approx = 0.1100001  y_true = 0.1100001
y_approx = 0.1100001  y_true = 0.1100000
y_approx = 0.1100000  y_true = 0.1100000
y_approx = 0.1011111  y_true = 0.1011111
y_approx = 0.1011111  y_true = 0.1011111
y_approx = 0.1011110  y_true = 0.1011110
y_approx = 0.1011110  y_true = 0.1011110
y_approx = 0.1011101  y_true = 0.1011101
y_approx = 0.1011100  y_true = 0.1011101
